mes-de-seq,especie ,amostra,tag,total_no_reads,threshold,OTU,no_reads_OTU,fate,family,genus ,species,notes,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,2,otu1,42742,1,Melastomataceae,Miconia ,,,,,,,,,,,,
junho ,Turdus leucomelas,027,A,44492,2,otu1,896,1,Moraceae,Morus,,,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,-,otu2,19,0,Moraceae,,,,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,2,otu3,823,1,Melastomataceae,,,,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,-,otu4,6,0,Melastomataceae,,,,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,-,otu5,4,0,Melastomataceae,,,,,,,,,,,,,
junho,Ramphocelus carbo,269,B,44492,-,otu6,2,0,Melastomataceae,,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_01,1236,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_02,501,1,Boraginaceae,Cordia,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_03,30,1,Araliaceae,Dendropanax,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_04,39,2,Melastomataceae,,,< 98% match with any organism ,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_05,56,1,Boraginaceae,Cordia,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_06,12,1,Melastomataceae,Henriettea,,,,,,,,,,,,
novembro,Antilophia galeata,132,A,23830,12,P01_A_07,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_01,16039,1,Rubiaceae,Psychotria,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_02,44,1,Euphorbiaceae,Alchornea,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_03,44,1,Rubiaceae,Psychotria,,Psychotria vellosiana,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_04,28,1,Rubiaceae,Psychotria,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_05,10,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_06,18,1,Rubiaceae,Psychotria,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_07,11,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_08,3,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_09,5,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_10,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_11,6,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_12,8,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_13,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_14,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_15,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_16,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_17,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,113,B,23830,12,P01_B_18,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,297,C,23830,12,P01_C_01,32,1,Siparunaceae,Siparuna,guianensis,,,,,,,,,,,
novembro,Antilophia galeata,297,C,23830,12,P01_C_02,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_01,201,1,Rubiaceae,Psychotria,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_02,51,1,Verbenaceae,Lippia/Lantana,,Lippia or Lantana,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_03,7,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_04,3,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_05,5,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_06,3,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_07,4,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,381,D,23830,12,P01_D_08,4,0,,,,,,,,,,,,,,
