data,parcela,especie,amostra,fc,seeds,genetic
27-Jul-2022,64,Arremon flavirostris,001,y,0,1
27-Jul-2022,64,Arremon flavirostris,003,y,0,1
27-Jul-2022,64,Arremon flavirostris,004,y,0,1
27-Jul-2022,64,Taraba major,007,y,0,1
5-Aug-2022,56,Eucometis penicillata,008,y,0,1
5-Aug-2022,56,Baryphthengus ruficapillus,009,y,0,1
9-Aug-2022,22,Trichothraupis melanops,012,y,0,1
9-Aug-2022,22,Cnemotriccus fuscatus,015,y,0,1
9-Aug-2022,22,Turdus leucomelas,016,y,0,1
9-Aug-2022,22,Thamnophilus caerulescens,019,y,0,1
9-Aug-2022,22,Thamnophilus caerulescens,020,y,0,1
10-Aug-2022,88,Cnemotriccus fuscatus,025,y,0,1
10-Aug-2022,88,Asemospiza fuliginosa,026,y,0,1
10-Aug-2022,88,Turdus leucomelas,027,y,1,1
10-Aug-2022,88,Turdus leucomelas,028,y,0,1
11-Aug-2022,90,Thlypopsis sordida,029,y,0,1
11-Aug-2022,90,Tolmomyias sulphurescens,030,y,0,1
11-Aug-2022,90,Thamnophilus doliatus,032,y,0,1
23-Aug-2022,20,Arremon flavirostris,034,y,0,1
24-Aug-2022,64,Eucometis penicillata,040,y,1,1
24-Aug-2022,64,Arremon flavirostris,041,y,0,1
24-Aug-2022,64,Cnemotriccus fuscatus,043,y,1,1
26-Aug-2022,84,Taraba major,046,y,0,1
26-Aug-2022,84,Myiarchus ferox,047,y,0,1
26-Aug-2022,84,Geothlypis aequinoctialis,048,y,0,1
26-Aug-2022,84,Eucometis penicillata,049,y,0,1
26-Aug-2022,84,Nemosia pileata,050,y,1,1
26-Aug-2022,84,Coryphospingus cucullatus,051,y,0,1
26-Aug-2022,84,Eucometis penicillata,052,y,1,1
30-Aug-2022,206,Turdus leucomelas,053,y,1,1
31-Aug-2022,87,Stilpnia cayana,057,y,0,1
31-Aug-2022,87,Taraba major,060,y,0,1
31-Aug-2022,87,Myiarchus ferox,063,y,0,1
30-Aug-2022,206,Turdus leucomelas,053,y,1,1
1-Sep-2022,207,Manacus manacus,064,y,1,1
1-Sep-2022,207,Antilophia galeata,065,y,0,1
1-Sep-2022,207,Leptopogon amaurocephalus,067,y,0,1
1-Sep-2022,207,Turdus rufiventris,068,y,0,1
7-Sep-2022,56,Tachyphonus coronatus,070,y,1,1
13-Sep-2022,56,Turdus leucomelas,073,y,1,1
13-Sep-2022,56,Turdus leucomelas,073,y,1,1
16-Sep-2022,90,Leptopogon amaurocephalus,075,y,1,1
20-Sep-2022,64,Coryphospingus cucullatus,078,y,0,1
21-Sep-2022,20,Coryphospingus cucullatus,081,y,0,1
21-Sep-2022,20,Cnemotriccus fuscatus,082,y,0,1
21-Sep-2022,20,Eucometis penicillata,084,y,1,1
21-Sep-2022,20,Antilophia galeata,087,y,1,1
21-Sep-2022,20,Antilophia galeata,088,y,0,1
21-Sep-2022,20,Thamnophilus caerulescens,089,y,0,1
21-Sep-2022,20,Thamnophilus caerulescens,090,y,0,1
21-Sep-2022,20,Thamnophilus caerulescens,091,y,0,1
23-Sep-2022,88,Thraupis sayaca,093,y,0,1
23-Sep-2022,88,Leptopogon amaurocephalus,094,y,0,1
