,morpho_spp,family,genus,species-epithet,seed_size,photo-taken,notes
1,AH,Amaranthaceae,,,,X,chenopodiaceae/amaranthaceae vibes
2,AC,Asteraceae ,Tilesia,baccata,,X,Asteraceae? confirm. Mef. 37 Zé 
3,O,Euphorbiaceae,,,,,Alchornea glandulosa ?
4,AD,Fabaceae,,,,X,Fabaceae (Cassia?  Enterolobium?) or Malvaceae?
5,AA,Heliotropiaceae,Myriopus ,,,X,"small, bumby seeds, 4-5 in one pea sized fruit, Boraginaceae has an aril, cordia corymbosa, Varronia polycephala"
6,T,Loranthaceae,Struthanthus,,,X,"parasitic, ""ervas-de-passarinho"""
7,D,Melastomataceae,,,,,"dark brown extra small seeds, Miconia or Leandra?"
8,E,Melastomataceae,Miconia,,,,fat Miconia 
9,F,Melastomataceae,Miconia,,,,skinny Miconia
10,G,Melastomataceae,,,,,"2 seed sizes, but same species "
11,C,Meliaceae,Trichilia,,,X,"2 seeds, one fruit, white aril and dark purple seeds, smaller (unfertilized?) seeds in the base of the fruting structure "
12,A,Moraceae,Morus,,,X,
13,AE,Myrtaceae,,,,X,Myrtaceae
14,AI,Myrtaceae,,,,X,"small 28, same?"
15,Q,Myrtaceae,,,,X,
16,Z,Myrtaceae,,,,,myrtaceae
17,U,Pereaceae,Pera,glabrata,,X,
18,AG,Piperaceae,Piper,,,X,"jelly seed coat, Piper amalago?"
19,AK,Piperaceae,Piper,,,X,"small square seeds, Piper aduncum"
20,AS,Primulaceae,Myrsine,,,X,Myrsine gardneriana?
21,V,Rosaceae,Rubus,,,X,
22,P,Rubiaceae,Psychotria,,,X,Psychotria vellosiana?
23,B,Salicaceae,Casearia,sylvestris,,X,
24,X,Sapindaceae,Allophylus,,,X,Allophylus edulis?
25,AJ,Siparunaceae,Siparuna,guianensis,,X,"similar to 11, Siparunaceae"
26,H,Solanaceae,Cestrum,,,,
27,R,Solanaceae,,,,X,solanaceae? Solanum spp?
28,I,unknown,,,,X,"strong herbal smell, Croton? arilo "
29,J,unknown,,,,,solanaceae
30,K,unknown,,,,,
31,L,unknown,,,,X,same thing as H
32,N,unknown,,,,,smol sunflower seed vibes 
33,S,unknown,,,,,"small, hairy seeds "
34,W,unknown,,,,X,"shaped like ant heads, fruit little ball (Myrtaceae - genetic, but Schinus vibes?) Mef 19 Zé"
35,Y,unknown,,,,,solanaceae vibes
36,AF,unknown,,,,X,partial seed
37,AN,unknown,,,,X,
38,AO,unknown,,,,X,pear shaped
39,AQ,unknown,,,,X,
40,M,Urticaceae,Cecropia,,,X,"Cecropia, Cecropia pachystachya?"
42,AM,Verbenaceae,,,,X,veiny
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,.,,,,
