unique,morpho_spp,family,genus,genus_morpho,species-epithet,seed_size,photo-taken,notes
m_01,A,Moraceae,Morus,Morus,,,X,
m_02,AA,Heliotropiaceae,Myriopus ,Myriopus ,,,X,"small, bumby seeds, 4-5 in one pea sized fruit, Boraginaceae has an aril, cordia corymbosa, Varronia polycephala"
m_03,AC,Asteraceae ,Tilesia,Tilesia,baccata,,X,Asteraceae? confirm. Mef. 37 Zé 
m_04,AD,Fabaceae,Fabaceae_1,Fabaceae_1,,,X,Fabaceae (Cassia?  Enterolobium?) or Malvaceae?
m_05,AE,Myrtaceae,Psidium,Psidium_1,,,X,Myrtaceae
m_06,AF,unknown,unknown_1,unknown_1,,,X,partial seed
m_07,AG,Piperaceae,Piper,Piper_2,,,X,"jelly seed coat, Piper amalago?"
m_08,AH,Amaranthaceae,Amaranthaceae,Amaranthaceae_1,,,X,chenopodiaceae/amaranthaceae vibes
m_09,AI,Myrtaceae,Psidium,Psidium_2,,,X,"small 28, same?"
m_10,AJ,Siparunaceae,Siparuna,Siparuna,guianensis,,X,"similar to 11, Siparunaceae"
m_11,AK,Piperaceae,Piper,Piper_1,,,X,"small square seeds, Piper aduncum"
m_12,AM,unknown,unknown_2,unknown_2,,,X,veiny
m_13,AN,unknown,unknown_3,unknown_3,,,X,
m_14,AO,unknown,unknown_4,unknown_4,,,X,"pear shaped, grape seeds???"
m_15,AQ,Rosaceae,Rubus,Rubus_1,,,X,
m_16,AS,Primulaceae,Stylogyne,Stylogyne,,,X,
m_17,B,Salicaceae,Casearia,Casearia,sylvestris,,X,
m_18,C,Meliaceae,Trichilia,Trichilia,,,X,"2 seeds, one fruit, white aril and dark purple seeds, smaller (unfertilized?) seeds in the base of the fruting structure "
m_19,D,Melastomataceae,Miconia,Miconia_3,,,,"dark brown extra small seeds, Miconia or Leandra?"
m_20,E,Melastomataceae,Miconia,Miconia_1,,,,fat Miconia 
m_21,F,Melastomataceae,Miconia,Miconia_2,,,,skinny Miconia
m_22,G,Melastomataceae,Miconia,Miconia_4,,,,"2 seed sizes, but same species, looks like melastomaceae, but the two samples that had the same seeds (360 and 410) both appeared as Myrcia, Myrtaceae in genetic results"
m_23,H,Solanaceae,Cestrum,Cestrum_1,,,,
m_23,L,Solanaceae,Cestrum,Cestrum_1,,,X,same thing as H
m_24,I,Myrtaceae,Myrcia ,Myrcia ,,,X,identified using DNA 
m_25,J,Solanaceae,Nicotiana ,Nicotiana ,,,,"solanaceae, identified using DNA"
m_26,K,Solanaceae,Solanum,Solanum_1,,,,
m_27,M,Urticaceae,Cecropia,Cecropia,,,X,"Cecropia, Cecropia pachystachya?"
m_28,N,Solanaceae,Cestrum,Cestrum_2,,,,smol sunflower seed vibes 
m_29,O,Euphorbiaceae,Alchornea ,Alchornea ,,,,Alchornea glandulosa ?
m_30,P,Rubiaceae,Psychotria,Psychotria,,,X,Psychotria vellosiana?
m_31,Q,Myrtaceae,Myrtaceae_2,Myrtaceae_1,,,X,
m_32,R,Solanaceae,Solanum,Solanum_2,,,X,solanaceae? Solanum spp?
m_33,S,unknown,unknown_5,unknown_5,,,,"small, hairy seeds "
m_34,T,Loranthaceae,Struthanthus,Struthanthus,,,X,"parasitic, ""ervas-de-passarinho"""
m_35,U,Pereaceae,Pera,Pera,glabrata,,X,
m_36,V,Rosaceae,Rubus,Rubus_2,,,X,
m_37,W,Verbenaceae,Lantanta ,Lantanta ,,,X,"shaped like ant heads, fruit little ball (Myrtaceae - genetic) Mef 19 Zé, looks like Verbenaceae, Lantana, now I'm not sure what to put :("
m_38,X,Sapindaceae,Allophylus,Allophylus,,,X,Allophylus edulis?
m_39,Y,Moraceae,Maclura,Maclura,,,,solanaceae vibes
m_40,Z,Myrtaceae,Myrtaceae_3,Myrtaceae_2,,,,myrtaceae
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,.,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
