Date,Year,Age range,Age,forest cover 10km,1 km circle,Forest type,Plot,Region,Tag,Species  code, Family ,Species ,Origin,CBH1 (cm),CBH2 (cm),CBH3 (cm),CBH4 (cm),CBH5 (cm),CBH6 (cm),CBH7 (cm),CBH8 (cm),CBH9 (cm),CBH10 (cm),CBH11 (cm),CBH12 (cm),CBH13 (cm),CBH14 (cm)
7/10/2015,2000,15-20,20,12,13.9,Passive restoration former pasturelands,88,Corumbataí river basin,2190,69,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,Native,26.2,,,,,,,,,,,,,
7/10/2015,2000,15-20,20,12,13.9,Passive restoration former pasturelands,88,Corumbataí river basin,2211,69,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,Native,22.3,,,,,,,,,,,,,
6/12/2015,2008,15-Jul,15,12,10.5,Passive restoration former pasturelands,84,Corumbataí river basin,1701,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,39.6,,,,,,,,,,,,,
6/12/2015,2008,15-Jul,15,12,10.5,Passive restoration former pasturelands,84,Corumbataí river basin,1746,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,21.4,,,,,,,,,,,,,
6/12/2015,2008,15-Jul,15,12,10.5,Passive restoration former pasturelands,84,Corumbataí river basin,1757,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,27.4,,,,,,,,,,,,,
1/25/2016,1978,37-53,47.5,10,27.8,Passive restoration former pasturelands,207,Corumbataí river basin,4783,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,42.8,,,,,,,,,,,,,
1/25/2016,1978,37-53,47.5,10,27.8,Passive restoration former pasturelands,207,Corumbataí river basin,4847,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,66.6,,,,,,,,,,,,,
1/25/2016,1978,37-53,47.5,10,27.8,Passive restoration former pasturelands,207,Corumbataí river basin,4865,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,39,,,,,,,,,,,,,
1/25/2016,1978,37-53,47.5,10,27.8,Passive restoration former pasturelands,207,Corumbataí river basin,4889,168,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,24.9,,,,,,,,,,,,,
1/25/2016,1978,37-53,47.5,10,27.8,Passive restoration former pasturelands,207,Corumbataí river basin,4895,4895,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,Native,55.1,,,,,,,,,,,,,
7/11/2015,2008,15-Jul,11,13,11.4,Passive restoration former pasturelands,90,Corumbataí river basin,2255,9,Euphorbiaceae,Alchornea glandulosa Poepp. & Endl.,Native,22.5,,,,,,,,,,,,,
7/11/2015,2008,15-Jul,11,13,11.4,Passive restoration former pasturelands,90,Corumbataí river basin,2301,9,Euphorbiaceae,Alchornea glandulosa Poepp. & Endl.,Native,23.1,,,,,,,,,,,,,
7/20/2015,2008,15-Jul,24,13,16.4,Passive restoration former pasturelands,20,Corumbataí river basin,2722,72,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,Native,17.1,,,,,,,,,,,,,
7/20/2015,2008,15-Jul,24,13,16.4,Passive restoration former pasturelands,20,Corumbataí river basin,2758,72,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,Native,17.6,,,,,,,,,,,,,
