family,genus,growth_form,origin
Amaranthaceae,Chamissoa,shrub,native
Araliaceae,Dendropanax,tree,native
Asteraceae,Tilesia,herbaceous,exotic
Boraginaceae,Cordia,tree,native
Euphorbiaceae,Alchornea,tree,native
Fabaceae,Leucaena,tree,exotic
Heliotropiaceae,Myriopus,climbing ,native
Lauraceae,Ocotea,tree,native
Malvaceae,Luehea,tree,native
Melastomataceae,Miconia,tree,native
Meliaceae,Trichillia,tree,native
Moraceae,Morus,shrub,exotic
Myrtaceae,Eugenia,tree,native
Myrtaceae,Myrciaria,tree,native
Myrtaceae,Psidium,tree,native
Piperaceae,Piper,shrub,native
Poaceae,Oryza,herbaceous,exotic
Primulaceae,Myrsine,tree,native
Rosaceae,Rubus,climbing ,exotic
Rubiaceae,Psychotria,shrub,native
Salicaceae,Casearia,tree,native
Sapindaceae,Allophylus,tree,native
Sapindaceae,Serjania/Paullinia,climbing ,native
Siparunaceae,Siparuna,shrub,native
Solanaceae,Cestrum,shrub,native
Verbenaceae,Lippia/Lantana,shrub,native
