bird_family,bird_species,
Passerellidae,Arremon flavirostris,
Thraupidae,Asemospiza fuliginosa,
Furnariidae,Automolus leucophthalmus,
Momotidae,Baryphthengus ruficapillus,
Parulidae,Basileuterus culicivorus,
Parulidae,Basileuterus culicivorus x Myiothlypis flaveola,
Pipridae,Chiroxiphia galeata,
Furnariidae,Clibanornis rectirostris,
Tyrannidae,Cnemotriccus fuscatus,
Thraupidae,Coereba flaveola,
Thraupidae,Conirostrum speciosum,
Conopophagidae,Conopophaga lineata,
Thraupidae,Coryphospingus cucullatus,
Furnariidae,Cranioleuca vulpina,
Picidae,Dryobates passerinus,
Thamnophilidae,Dysithamnus mentalis,
Thraupidae,Eucometis penicillata,
Fringillidae,Euphonia violacea,
Galbulidae,Galbula ruficauda,
Parulidae,Geothlypis aequinoctialis,
Cardinalidae,Habia rubica,
Tyrannidae,Lathrotriccus euleri,
Furnariidae,Lepidocolaptes angustirostris,
Tyrannidae,Leptopogon amaurocephalus,
Columbidae,Leptotila verreauxi,
Bucconidae,Malacoptila striata,
Pipridae,Manacus manacus,
Tyrannidae,Myiarchus ferox,
Tyrannidae,Myiodynastes maculatus,
Tyrannidae,Myiornis auricularis,
Parulidae,Myiothlypis flaveola,
Thraupidae,Nemosia pileata,
NA,no_captures,
Caprimulgidae,Nyctidromus albicollis,
Thraupidae,Pipraeidea melanonota,
Tyrannidae,Pitangus sulphuratus,
Tyrannidae,Platyrinchus mystaceus,
Thraupidae,Ramphocelus carbo,
Furnariidae,Sittasomus griseicapillus,
Thraupidae,Sporophila sp.,
Hirundinidae,Stelgidopteryx ruficollis,
Thraupidae,Stilpnia cayana,
Furnariidae,Synallaxis frontalis,
Furnariidae,Synallaxis ruficapilla,
Thraupidae,Tachyphonus coronatus,
Thamnophilidae,Taraba major,
Thamnophilidae,Thamnophilus caerulescens,
Thamnophilidae,Thamnophilus doliatus,
Thraupidae,Thlypopsis sordida,
Thraupidae,Thraupis sayaca,
Tyrannidae,Tolmomyias sulphurescens,
Thraupidae,Trichothraupis melanops,
Troglodytidae,Troglodytes musculus,
Turdidae,Turdus amaurochalinus,
Turdidae,Turdus leucomelas,
Turdidae,Turdus rufiventris,
Tyrannidae,Tyrannus melancholicus,
Thraupidae,Volatinia jacarina,
Furnariidae,Xenops rutilans,
