seq_month,bird_species,sample,seeds,tag,pool,total_no_reads_pool,OTU,no_reads_OTU,final_fate,plant_family,plant_genus ,first_plant_species_BLAST,first_plant_species_BOLD,notes,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_02,19,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_04,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_05,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_06,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Jun-2023,Turdus leucomelas,027,1,A,P_00,44492,P_00_A_01,896,1,Moraceae,Morus,Morus alba,Streblus pendulinus,,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_01,42742,1,Melastomataceae,Miconia ,Miconia prasina,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Jun-2023,Ramphocelus carbo,269,1,B,P_00,44492,P_00_B_03,823,1,Melastomataceae,Miconia,Henriettea glabra,Henriettea squamulosa,classified as Miconia because we do no have Henriettea in the region,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,A,P_06,2291,P_06_A_01,18,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,A,P_06,2291,P_06_A_02,10,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,A,P_06,2291,P_06_A_03,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,B,P_06,2291,P_06_B_01,1387,5,Melastomataceae,Miconia ,Miconia pusilliflora,Clidemia urceolata,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,C,P_06,2291,P_06_C_00,NA,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,D,P_06,2291,P_06_D_00,NA,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,E,P_06,2291,P_06_E_00,NA,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,blank,blank,NA,H,P_06,2291,P_06_H_00,NA,5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_04,39,2,NA,NA,NA,NA,< 98% match with any organism ,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_06,12,0,NA,NA,NA,NA,"acabei classificando como Miconia pq não tem Henreittea na region, confirma que não é Leandra",,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,132,1,A,P_01,23830,P_01_A_07,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_05,10,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_06,18,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_07,11,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_08,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_09,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_10,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_11,6,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_12,8,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_13,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_14,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_15,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_16,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_17,4,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,113,1,B,P_01,23830,P_01_B_18,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,297,1,C,P_01,23830,P_01_C_02,2,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_03,7,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_04,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_05,5,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Nov-2023,Chiroxiphia galeata,381,1,D,P_01,23830,P_01_D_06,3,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
