"","plant_genus","plant_family","no_samples","samples_list","bird_spp_list","sequenced","family","growth_form","origin","fruit_type","juliano"
"1","Albizia","Fabaceae",1,"136","Myiarchus ferox","Jul-2024","Fabaceae","tree","native","dry","ok"
"2","Alchornea","Euphorbiaceae",3,"113, 122, 384","Chiroxiphia galeata, Eucometis penicillata","Nov-2023","Euphorbiaceae","tree","native","dry","ok"
"3","Allophylus","Sapindaceae",5,"199, 201, 309, 326, 447","Turdus amaurochalinus, Turdus leucomelas, Leptopogon amaurocephalus, Chiroxiphia galeata","Nov-2023","Sapindaceae","tree","native","fleshy","ok"
"4","Amphilophium","Bignoniaceae",1,"447","Chiroxiphia galeata","Jul-2024","Bignoniaceae","climbing","native","dry","ok"
"5","Aspidosperma","Apocynaceae",2,"034, 136","Arremon flavirostris, Myiarchus ferox","Jul-2024","Apocynaceae","tree","native","dry","ok"
"6","Banisteriopsis","Malpighiaceae",1,"246","Myiarchus ferox","Jul-2024","Malpighiaceae","climbing","native","dry","ok"
"7","Bunchosia","Malpighiaceae",2,"001, 029","Arremon flavirostris, Thlypopsis sordida",NA,NA,NA,NA,NA,NA
"8","Byrsonima","Malpighiaceae",1,"029","Thlypopsis sordida",NA,NA,NA,NA,NA,NA
"9","Caesalpinia","Fabaceae",1,"004","Arremon flavirostris",NA,NA,NA,NA,NA,NA
"10","Calyptranthes","Myrtaceae",1,"140","Chiroxiphia galeata",NA,NA,NA,NA,NA,NA
"11","Casearia","Salicaceae",10,"001, 040, 043, 050, 052, 053, 070, 084, 272, 432","Arremon flavirostris, Eucometis penicillata, Cnemotriccus fuscatus, Nemosia pileata, Turdus leucomelas, Tachyphonus coronatus","Nov-2023","Salicaceae","tree","native","fleshy","ok"
"12","Cecropia","Urticaceae",2,"110, 447","Ramphocelus carbo, Chiroxiphia galeata","Jul-2024","Urticaceae","tree","native","fleshy","ok"
"13","Centrolobium","Fabaceae",1,"437","Manacus manacus","Jul-2024","Fabaceae","tree","native","dry","ok"
"14","Cestrum","Solanaeceae",1,"110","Ramphocelus carbo","Nov-2023","Solanaceae","shrub","native","fleshy","são shrubs, não tree"
"15","Cestrum","Solanaceae",1,"073","Turdus leucomelas","Nov-2023","Solanaceae","shrub","native","fleshy","são shrubs, não tree"
"16","Chamaecrista","Fabaceae",1,"001","Arremon flavirostris",NA,NA,NA,NA,NA,NA
"17","Chamissoa","Amaranthaceae",1,"419","Tachyphonus coronatus","Nov-2023","Amaranthaceae","shrub","native","dry","growth form é shrub, mas as vezes liana. Mas nunca herbaceous"
"18","Chrysophyllum","Sapotaceae",1,"029","Thlypopsis sordida",NA,NA,NA,NA,NA,NA
