plant_family,plant_genus,growth_form,origin,fruit_type
Fabaceae,Albizia,tree,native,dry
Euphorbiaceae,Alchornea,tree,native,fleshy
Sapindaceae,Allophylus,tree,native,fleshy
Bignoniaceae,Amphilophium,climbing,native,dry
Apocynaceae,Aspidosperma,tree,native,dry
Malpighiaceae,Banisteriopsis,climbing,native,dry
Malpighiaceae,Bunchosia,shrub,native,fleshy
Malpighiaceae,Byrsonima,tree,native,fleshy
Myrtaceae,Calyptranthes,tree,native,fleshy
Salicaceae,Casearia,tree,native,fleshy
Urticaceae,Cecropia,tree,native,fleshy
Fabaceae,Centrolobium,tree,native,dry
Solanaceae,Cestrum,shrub,native,fleshy
Fabaceae,Chamaecrista,shrub,native,dry
Amaranthaceae,Chamissoa,shrub,native,dry
Sapotaceae,Chrysophyllum,tree,native,fleshy
Verbenaceae,Citharexylum,tree,native,fleshy
Rubiaceae,Coffea,shrub,exotic,fleshy
Boraginaceae,Cordia,tree,native,fleshy
Cornaceae,Cornus,tree,exotic,fleshy
Araliaceae,Dendropanax,tree,native,fleshy
Fabaceae,Desmodium,herbaceous,native,dry
Myrtaceae,Eugenia,tree,native,fleshy
Moraceae,Ficus,tree,native,fleshy
Bignoniaceae,Fridericia,climbing,native,dry
Petiveriaceae,Gallesia,tree,native,dry
Rubiaceae,Geophila,herbaceous,native,fleshy
Rhamnaceae,Gouania,climbing,native,dry
Bignoniaceae,Handroanthus,tree,native,dry
Caricaceae,Jacaratia,tree,native,fleshy
Lacistemataceae,Lacistema,tree,native,fleshy
Fabaceae,Leucaena,tree,exotic,dry
Verbenaceae,Lippia/Lantana,shrub,native,fleshy
Anacardiaceae,Lithraea,tree,native,fleshy
Fabaceae,Lonchocarpus,tree,native,dry
Malvaceae,Luehea,tree,native,dry
Fabaceae,Machaerium,tree,native,dry
Moraceae,Maclura,tree,native,fleshy
Sapotaceae,Manilkara,tree,native,fleshy
Sapindaceae,Matayba,tree,native,fleshy
Rutaceae,Metrodorea,tree,native,dry
Melastomataceae,Miconia,tree,native,fleshy
Fabaceae,Mimosa,shrub,native,dry
Moraceae,Morus,shrub,exotic,fleshy
Myrtaceae,Myrcia,tree,native,fleshy
Myrtaceae,Myrcianthes,tree,native,fleshy
Boraginaceae,Myriopus,climbing,native,fleshy
Solanaceae,Nicotiana,herbaceous,native,dry
Lauraceae,Ocotea,tree,native,fleshy
Poaceae,Oryza,herbaceous,exotic,dry
Peraceae,Pera,tree,native,fleshy
Piperaceae,Piper,shrub,native,fleshy
Salicaceae,Prockia,tree,native,fleshy
Myrtaceae,Psidium,tree,native,fleshy
Rubiaceae,Psychotria,shrub,native,fleshy
Rosaceae,Pyrus,tree,exotic,fleshy
Rhamnaceae,Rhamnidium,tree,native,fleshy
Rosaceae,Rubus,climbing,native,fleshy
Acanthaceae,Ruellia,herbaceous,native,dry
Sarraceniaceae,Sarracenia,herbaceous,native,dry
Anacardiaceae,Schinus,tree,native,fleshy
Fabaceae,Senna,tree,native,dry
Sapindaceae,Serjania/Paullinia,climbing,native,fleshy
Siparunaceae,Siparuna,shrub,native,fleshy
Solanaceae,Solanum,herbaceous,native,fleshy
Primulaceae,Stylogyne,shrub,native,fleshy
Arecaceae,Syagrus,tree,native,fleshy
Myrtaceae,Syzygium,tree,exotic,fleshy
Combretaceae,Terminalia,tree,native,dry
Asteraceae,Tilesia,herbaceous,exotic,fleshy
Cannabaceae,Trema,tree,native,fleshy
Meliaceae,Trichilia,tree,native,fleshy
Rutaceae,Zanthoxylum,tree,native,fleshy
