"","plant_genus","plant_family.x","plant_family.y","growth_form","origin","fruit_type"
"1","Albizia","Fabaceae","Fabaceae","tree","native","dry"
"2","Alchornea","Euphorbiaceae","Euphorbiaceae","tree","native","fleshy"
"3","Allophylus","Sapindaceae","Sapindaceae","tree","native","fleshy"
"4","Amphilophium","Bignoniaceae","Bignoniaceae","climbing","native","dry"
"5","Aspidosperma","Apocynaceae","Apocynaceae","tree","native","dry"
"6","Banisteriopsis","Malpighiaceae","Malpighiaceae","climbing","native","dry"
"7","Bunchosia","Malpighiaceae","Malpighiaceae","shrub","native","fleshy"
"8","Byrsonima","Malpighiaceae","Malpighiaceae","tree","native","fleshy"
"9","Calyptranthes","Myrtaceae","Myrtaceae","tree","native","fleshy"
"10","Casearia","Salicaceae","Salicaceae","tree","native","fleshy"
"11","Cecropia","Urticaceae","Urticaceae","tree","native","fleshy"
"12","Centrolobium","Fabaceae","Fabaceae","tree","native","dry"
"13","Cestrum","Solanaceae","Solanaceae","shrub","native","fleshy"
"14","Chamaecrista","Fabaceae","Fabaceae","shrub","native","dry"
"15","Chamissoa","Amaranthaceae","Amaranthaceae","shrub","native","dry"
"16","Chrysophyllum","Sapotaceae","Sapotaceae","tree","native","fleshy"
"17","Citharexylum","Verbenaceae","Verbenaceae","tree","native","fleshy"
"18","Coffea","Rubiaceae","Rubiaceae","shrub","exotic","fleshy"
"19","Cordia","Boraginaceae","Boraginaceae","tree","native","fleshy"
"20","Cornus","Cornaceae","Hydrangeaceae","tree","exotic","fleshy"
"21","Dendropanax","Araliaceae","Araliaceae","tree","native","fleshy"
"22","Desmodium","Fabaceae","Fabaceae","herbaceous","native","dry"
"23","Eugenia","Myrtaceae","Myrtaceae","tree","native","fleshy"
"24","Ficus","Moraceae","Moraceae","tree","native","fleshy"
"25","Fridericia","Bignoniaceae","Bignoniaceae","climbing","native","dry"
"26","Gallesia","Petiveriaceae","Sapindaceae","tree","native","dry"
"27","Geophila","Rubiaceae","Rubiaceae","herbaceous","native","fleshy"
"28","Gouania","Rhamnaceae","Rhamnaceae","climbing","native","dry"
"29","Handroanthus","Bignoniaceae","Bignoniaceae","tree","native","dry"
"30","Jacaratia","Caricaceae","Caricaceae","tree","native","fleshy"
"31","Justicia","Acanthaceae","Acanthaceae","herbaceous","native","dry"
"32","Lacistema","Lacistemataceae","Lacistemataceae","tree","native","fleshy"
"33","Leucaena","Fabaceae","Fabaceae","tree","exotic","dry"
"34","Lippia/Lantana","Verbenaceae","Verbenaceae","shrub","native","fleshy"
"35","Lithraea","Anacardiaceae","Anacardiaceae","tree","native","fleshy"
"36","Lonchocarpus","Fabaceae","Fabaceae","tree","native","dry"
"37","Luehea","Malvaceae","Malvaceae","tree","native","dry"
"38","Machaerium","Fabaceae","Fabaceae","tree","native","dry"
"39","Maclura","Moraceae","Moraceae","tree","native","fleshy"
"40","Manilkara","Sapotaceae","Sapotaceae","tree","native","fleshy"
"41","Matayba","Sapindaceae","Sapindaceae","tree","native","fleshy"
"42","Metrodorea","Rutaceae","Rutaceae","tree","native","dry"
"43","Miconia","Melastomataceae","Melastomataceae","tree","native","fleshy"
"44","Mimosa","Fabaceae","Fabaceae","shrub","native","dry"
"45","Morus","Moraceae","Moraceae","shrub","exotic","fleshy"
"46","Myrcia","Myrtaceae","Myrtaceae","tree","native","fleshy"
"47","Myrcianthes","Myrtaceae","Myrtaceae","tree","native","fleshy"
"48","Myrciaria","Myrtaceae","Myrtaceae","tree","native","fleshy"
"49","Myriopus","Boraginaceae","Boraginaceae","climbing","native","fleshy"
"50","Nicotiana","Solanaceae","Solanaeceae","herbaceous","native","dry"
"51","Ocotea","Lauraceae","Lauraceae","tree","native","fleshy"
"52","Oryza","Poaceae","Poaceae","herbaceous","exotic","dry"
"53","Pera","Peraceae","Peraceae","tree","native","fleshy"
"54","Piper","Piperaceae","Piperaceae","shrub","native","fleshy"
"55","Prockia","Salicaceae","Salicaceae","tree","native","fleshy"
"56","Psidium","Myrtaceae","Myrtaceae","tree","native","fleshy"
"57","Psychotria","Rubiaceae","Rubiaceae","shrub","native","fleshy"
"58","Pyrus","Rosaceae","Rosaceae","tree","exotic","fleshy"
"59","Rhamnidium","Rhamnaceae","Rhamnaceae","tree","native","fleshy"
"60","Rubus","Rosaceae","Rosaceae","climbing","native","fleshy"
"61","Ruellia","Acanthaceae","Acanthaceae","herbaceous","native","dry"
"62","Sarracenia","Sarraceniaceae","Sarraceniaceae","herbaceous","native","dry"
"63","Schinus","Anacardiaceae","Anacardiaceae","tree","native","fleshy"
"64","Senna","Fabaceae","Fabaceae","tree","native","dry"
"65","Serjania/Paullinia","Sapindaceae","Sapindaceae","climbing","native","fleshy"
"66","Siparuna","Siparunaceae","Siparunaceae","shrub","native","fleshy"
"67","Solanum","Solanaceae","Solanaceae","herbaceous","native","fleshy"
"68","Stylogyne","Primulaceae","Primulaceae","shrub","native","fleshy"
"69","Syagrus","Arecaceae","Arecaceae","tree","native","fleshy"
"70","Syzygium","Myrtaceae","Myrtaceae","tree","exotic","fleshy"
"71","Terminalia","Combretaceae","Combretaceae","tree","native","dry"
"72","Tilesia","Asteraceae","Asteraceae","herbaceous","exotic","fleshy"
"73","Trema","Cannabaceae","Cannabaceae","tree","native","fleshy"
"74","Trichilia","Meliaceae","Meliaceae","tree","native","fleshy"
"75","Zanthoxylum","Rutaceae","Rutaceae","tree","native","fleshy"
